dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy,task_group
EMP/Yeast_H4ac,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,23866,10229,2,42,4,4,roc_auc,0.8204713813190257,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4971289749040858,0.8288475139198832,0.7484919774588206,0.7505132466516766,other
EMP/Yeast_H4ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,23866,10229,2,42,4,4,roc_auc,0.8204713813190257,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4971289749040858,0.8288475139198832,0.7484919774588206,0.7505132466516766,other
EMP/Yeast_H4ac,zhihan1996/DNABERT-2-117M,mean,linear,768,23866,10229,2,42,4,4,roc_auc,0.7136407697847953,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3210566262717722,0.7175424271825759,0.65996148907678,0.6639945253690488,other
deep4mc/A.thaliana_4mC,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,156697,67157,2,42,4,4,roc_auc,0.712841235145774,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3155741064329367,0.7151735591589503,0.6577869038672892,0.6577869767857408,other
deep4mc/A.thaliana_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,156697,67157,2,42,4,4,roc_auc,0.7099827246678652,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3065804276963262,0.7102348721077011,0.6532898517186216,0.6532900516699673,other
deep4mc/A.thaliana_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,156697,67157,2,42,4,4,roc_auc,0.7099827246678652,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3065804276963262,0.7102348721077011,0.6532898517186216,0.6532900516699673,other
deep4mc/A.thaliana_4mC,zhihan1996/DNABERT-2-117M,attention,linear,768,156697,67157,2,42,4,4,roc_auc,0.5702944046189677,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.107792654625519,0.5740375515954474,0.5538950243811976,0.5538960942269607,other
deep4mc/C.elegans_4mC,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,84926,36398,2,42,4,4,roc_auc,0.7446656413698,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3690879608863087,0.7469689497729827,0.6845423600367505,0.6845431067641079,other
deep4mc/C.elegans_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,84926,36398,2,42,4,4,roc_auc,0.7406093079517277,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3552972640469508,0.7412953188271645,0.6776457547916053,0.6776471234683225,other
deep4mc/C.elegans_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,84926,36398,2,42,4,4,roc_auc,0.7406093079517277,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3552972640469508,0.7412953188271645,0.6776457547916053,0.6776471234683225,other
deep4mc/C.elegans_4mC,zhihan1996/DNABERT-2-117M,mean,linear,768,84926,36398,2,42,4,4,roc_auc,0.5815978821634237,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1215658562050015,0.5823046969226642,0.5606083964340018,0.5607450958843893,other
deep4mc/D.melanogaster_4mC,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,126466,54200,2,42,4,4,roc_auc,0.7452583786577716,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3682309505854144,0.7479558952083986,0.68411346111073,0.6841143911439115,other
deep4mc/D.melanogaster_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,126466,54200,2,42,4,4,roc_auc,0.7409505936716787,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3590429380452679,0.7412304679947169,0.6795192474581135,0.679520295202952,other
deep4mc/D.melanogaster_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,126466,54200,2,42,4,4,roc_auc,0.7409505936716787,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3590429380452679,0.7412304679947169,0.6795192474581135,0.679520295202952,other
