dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy
EMP/Yeast_H3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,10475,4490,2,42,4,4,roc_auc,0.8880061137775852,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6380753393825955,0.8940532062735755,0.819037018918451,0.8191536748329621
EMP/Yeast_H3K14ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,23133,9915,2,42,4,4,roc_auc,0.7105231002261972,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3093728639657513,0.7124783018354806,0.6536529636596018,0.6642460917801312
EMP/Yeast_H3K36me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,24415,10465,2,42,4,4,roc_auc,0.7457988760584104,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3656158537844791,0.7417293124128245,0.6821359314616409,0.6862876254180602
EMP/Yeast_H3K4me1,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,22173,9504,2,42,4,4,roc_auc,0.6989996578865459,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2906004273313209,0.6927862893288425,0.6427536009427158,0.6509890572390572
EMP/Yeast_H3K4me2,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,21478,9205,2,42,4,4,roc_auc,0.660120355423643,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2252863343640788,0.6657191933452122,0.6003079250198922,0.6398696360673547
EMP/Yeast_H3K4me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,25759,11040,2,42,4,4,roc_auc,0.6350850728978137,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2096032471429421,0.6394218024283984,0.6034941326030798,0.6084239130434783
EMP/Yeast_H3K79me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,20185,8652,2,42,4,4,roc_auc,0.8129622383308193,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5053351109766059,0.8162329314683363,0.7520248632655815,0.7541608876560333
EMP/Yeast_H3K9ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,19447,8335,2,42,4,4,roc_auc,0.7611829365787364,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4014586855101144,0.7635117942740584,0.7006788122974512,0.7048590281943611
EMP/Yeast_H4,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,10220,4381,2,42,4,4,roc_auc,0.90841459736604,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7137477752213185,0.915831209863034,0.856873476188629,0.8587080575211139
EMP/Yeast_H4ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,23866,10229,2,42,4,4,roc_auc,0.6904172064041734,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.279571655538589,0.6914088124621074,0.6389780277825108,0.6437579431029427
deep4mc/A.thaliana_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,156697,67157,2,42,4,4,roc_auc,0.6260673296204764,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1917465321606967,0.6295104404500946,0.5956397881514544,0.5957979063984394
