dataset,lp_kmer_k4_MCC,lp_kmer_k4_AUROC,lp_kmer_k4_F1,lp_kmer_k4_Accuracy,lp_kmer_k5_MCC,lp_kmer_k5_AUROC,lp_kmer_k5_F1,lp_kmer_k5_Accuracy,lp_kmer_k6_MCC,lp_kmer_k6_AUROC,lp_kmer_k6_F1,lp_kmer_k6_Accuracy,lp_fm_NTv3_650M_pre_MCC__pool_max,lp_fm_NTv3_650M_pre_AUROC__pool_max,lp_fm_NTv3_650M_pre_F1__pool_max,lp_fm_NTv3_650M_pre_Accuracy__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_MCC,lp_fm_hyenadna-medium-160k-seqlen-hf_AUROC,lp_fm_hyenadna-medium-160k-seqlen-hf_F1,lp_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,lp_fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_AUROC,lp_fm_DNABERT-2-117M_F1,lp_fm_DNABERT-2-117M_Accuracy,lp_fm_NTv3_650M_pre_MCC__pool_cls,lp_fm_NTv3_650M_pre_AUROC__pool_cls,lp_fm_NTv3_650M_pre_F1__pool_cls,lp_fm_NTv3_650M_pre_Accuracy__pool_cls,lp_fm_DNABERT-2-117M_MCC__pool_max,lp_fm_DNABERT-2-117M_AUROC__pool_max,lp_fm_DNABERT-2-117M_F1__pool_max,lp_fm_DNABERT-2-117M_Accuracy__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_MCC__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_F1__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_Accuracy__pool_max,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_AUROC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_F1,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_Accuracy,lp_fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_AUROC,lp_fm_evo2_1b_base_F1,lp_fm_evo2_1b_base_Accuracy
deep4mc/E.coli_4mC,0.0763280304197795,0.6713099832520207,0.4674306213870146,0.8344531040043,0.0945176234342915,0.6881089346828807,0.4943315880044376,0.8309594195108841,0.1414583040387055,0.663267832436987,0.5385271746243296,0.8250470303681806,0.056097154281871,0.6751074055195514,0.4773580698093174,0.8298844396667563,0.181252284483998,0.727383986435177,0.5674603174603174,0.8242407954850847,-0.0073311733990885,0.5922865672883877,0.4544788154229585,0.83310937919914,0.0229731335046838,0.6193876064953033,0.4576521050315388,0.83310937919914,0.0,0.5931822200954947,0.4545587804163002,0.833378124160172,0.0719030109435069,0.674350105585087,0.4627994270200543,0.8344531040043,0.1632333559675195,0.681653160791004,0.5329546728539187,0.8339156140822359,0.0,0.5579058784367166,0.4545587804163002,0.833378124160172
enhancers/enhancer,0.43544110754525,0.79615,0.717356911936668,0.7175,0.4459430518499069,0.7993999999999999,0.7222065807008653,0.7225,0.4763416000357052,0.8053750000000001,0.7371303395399781,0.7375,0.4681056508494896,0.7942,0.7316126443052342,0.7325,0.4254814716983816,0.7895749999999999,0.7081320450885669,0.71,0.4459430518499069,0.801575,0.7222065807008653,0.7225,0.4100205015376281,0.765225,0.7049926248156204,0.705,0.430086025808603,0.7912750000000001,0.714971497149715,0.715,0.4303444133511716,0.779025,0.7148859543817527,0.715,0.4552789438057995,0.7914999999999999,0.7274165213096511,0.7275,0.4256442745669518,0.7898,0.7122824135752663,0.7125
enhancers/enhancer_strength,0.2810013320855966,0.7198416666666666,0.4626890632194393,0.55,0.308161693144781,0.7244527777777777,0.4911737476241416,0.5675,0.4039596733986989,0.7538333333333332,0.5339427248323855,0.615,0.3191498242062267,0.7325305555555556,0.5050091792639781,0.575,0.3441213020592016,0.711986111111111,0.500751415587319,0.5725,0.2541672097794434,0.6921305555555555,0.4492652675904405,0.5375,0.2981983019660876,0.6967638888888888,0.4898108602302122,0.57,0.2742800072597154,0.6975277777777777,0.4712190881156626,0.5525,0.3039328358222556,0.7075944444444445,0.4917320484393655,0.57,0.3381138795935506,0.7196250000000001,0.505644372464442,0.5875,0.3193229392711094,0.7260472222222223,0.4758399744852195,0.5875
deep4mc/G.pickeringii_4mC,0.1011472711686436,0.681880921759499,0.4875956073457436,0.8337375109127947,0.1051699268051705,0.6891290110708218,0.4940837898470736,0.8328644873411583,0.1437892073131142,0.6675720821624926,0.538926648504585,0.8256862935299253,0.1180462710271402,0.6960379252782205,0.5074131343656548,0.8315064506741682,0.1479332762578744,0.7247821006606123,0.5126439202800366,0.835677563294209,0.0117818538577033,0.6039847451152619,0.4566671941213343,0.8327674847220875,0.0437560607944117,0.6445620393001367,0.4644824822055786,0.8326704821030168,0.0044064830017873,0.5989591809605553,0.4550684423621785,0.8331554951983704,0.070542262839952,0.6466442465102432,0.4687917315389183,0.8339315161509361,0.1151538862552386,0.6857367180018508,0.4991059547307065,0.833252497817441,0.0220253630040796,0.5552762596804817,0.4551560496674078,0.8334465030555825
genomic_benchmark/enhancer_cohn,0.4531344405672391,0.8027167188844908,0.726292753352353,0.7263960852043754,0.4563830307915898,0.8061335808501281,0.7280825045782897,0.7281232009211284,0.4385308239088903,0.7936831678967933,0.7191577376560312,0.7191997697179044,0.4671989120078397,0.816799953864036,0.7335883775885454,0.7335924006908463,0.499196753051889,0.8315666109521874,0.7495530929991655,0.7495682210708118,0.4557089298484659,0.8093799187251361,0.7278239312137618,0.7278353483016695,0.3785736420894953,0.7626414861083353,0.6892436246106128,0.6892630972941853,0.4122350790282729,0.782589076051093,0.7060917358669268,0.7061024755325274,0.4131597356384262,0.7883250822211152,0.7065018554725434,0.7065342544617156,0.5001104256473493,0.8329144804285078,0.7499723996840647,0.75,0.3429303589088717,0.736991945098203,0.6713693379325333,0.6714162348877375
deep4mc/G.subterraneus_4mC,0.0731200786943749,0.6759019990177703,0.4698272161605428,0.8339757001798627,0.1385956360817701,0.693851323962891,0.5089856981377177,0.8348933671034762,0.1679716984268813,0.6857923257633867,0.5384244663297857,0.8333883933487501,0.0735384700461424,0.6742357304561624,0.4780174712981159,0.8323606063943031,0.1028748638204318,0.7106390973577402,0.4860715722102482,0.8342326469184744,-0.0027093605789716,0.5883386522885737,0.4545399939933927,0.833314979994861,0.0224585667094954,0.6254670102206601,0.4575090283655726,0.8330947399331938,-0.0038316848035756,0.5860000696603004,0.4545290725612686,0.8332782733179165,0.0095821662957044,0.6265765687975021,0.4551832398823617,0.8332782733179165,0.0382653651100408,0.6686650020636136,0.4623124404104228,0.8328010865176375,,,,
deep4mc/C.elegans_4mC,0.228203222514412,0.6571824471195892,0.6140964028854135,0.6140996758063629,0.2763587042510436,0.6879709076593041,0.6381506710568283,0.6381669322490247,0.3054648745499289,0.7104369737815743,0.652664611585702,0.6527006978405407,0.2845794025587533,0.6949916314466642,0.642285946841481,0.642288037804275,0.353105753477411,0.7391302155558387,0.6765438431812536,0.6765481619869224,0.1195253797988777,0.5837723832598064,0.5596028262831078,0.5597285565140941,0.1874389743954175,0.6292534089929777,0.5937019171252602,0.5937139403263916,0.1024875215927815,0.5748847443841651,0.5512185792505483,0.5512390790702786,0.1789475098759532,0.6247903596917717,0.5893229900604895,0.5894279905489312,0.2154442532846267,0.6458336061388414,0.6075771951009143,0.6076707511401725,0.1083815516317886,0.5723372192441833,0.5528645761453657,0.5539315346997088
genomic_benchmark/coding,0.7626462652477753,0.949462304,0.8812270545090883,0.88124,0.7900395029627469,0.9597057792,0.8949973749343734,0.895,0.8040847576227689,0.9637959232,0.9020397101942786,0.90204,0.8592949868593247,0.9781188928,0.9294662542707784,0.92948,0.8799589528554882,0.9830085504,0.93978772160853,0.9398,0.7415266654648479,0.9433346816,0.8707594191411334,0.87076,0.7720973115423774,0.9520792192000002,0.8855794715404448,0.88564,0.6732275091766419,0.9161222976,0.8365966616044352,0.8366,0.7008954512703561,0.9301950272,0.8504383514716852,0.85044,0.8408,0.9757710528,0.9204,0.9204,0.4882441008448023,0.8340213504,0.7440579586809088,0.74408
iDHS-EL/DNase_I,0.6493789489824234,0.8607357357357357,0.8213507625272332,0.8660130718954249,0.6095551548850041,0.8826683826683827,0.796647714686554,0.8529411764705882,0.5532280931139303,0.864972114972115,0.7673073195461255,0.8333333333333334,0.676170759190768,0.8802552552552553,0.8351386604661715,0.8758169934640523,0.6648723501960674,0.8697447447447447,0.832422829818211,0.8660130718954249,0.5813184104508101,0.8384813384813384,0.788324980588692,0.8398692810457516,0.3678791455529832,0.7733268983268984,0.679170549860205,0.7647058823529411,0.4007739734820885,0.81992706992707,0.6652135126491727,0.7875816993464052,0.4939183537702721,0.8226619476619477,0.7415540540540541,0.8104575163398693,0.6434399485175759,0.8826147576147576,0.8215985356924954,0.8594771241830066,0.1263202478595772,0.7117117117117118,0.5058823529411764,0.7254901960784313
iDNA_ABF/5mC,0.4104236972192441,0.7729778223199276,0.7049120429119611,0.7050461975835111,0.3731355045474719,0.7565648034398034,0.6865646309189632,0.6865671641791045,0.3574980451017269,0.7347912356136039,0.6787476510880766,0.6787491115849325,0.4533839493743568,0.8125545551532395,0.7261889056199777,0.7263681592039801,0.5220571628012585,0.835346485839907,0.7602488328690765,0.7604832977967306,0.1883428368353791,0.628483447562395,0.5941687171309026,0.5941719971570718,0.3390199351237009,0.7249147323160482,0.6695069237580905,0.6695095948827292,0.1684455349807763,0.6209043223845856,0.5842083062864185,0.5842217484008528,0.2942116100842504,0.6987767522306996,0.6463195237182429,0.6467661691542289,0.4613365315140484,0.8059776283460494,0.7306058795030748,0.7306325515280739,0.0804075449060556,0.5640598732703996,0.5399741771166805,0.5401563610518835
