dataset,pca_fm_NTv3_650M_pre_MCC,pca_fm_NTv3_650M_pre_AUROC,pca_fm_NTv3_650M_pre_F1,pca_fm_NTv3_650M_pre_Accuracy,pca_kmer_k4_MCC,pca_kmer_k4_AUROC,pca_kmer_k4_F1,pca_kmer_k4_Accuracy,pca_kmer_k5_MCC,pca_kmer_k5_AUROC,pca_kmer_k5_F1,pca_kmer_k5_Accuracy,pca_kmer_k6_MCC,pca_kmer_k6_AUROC,pca_kmer_k6_F1,pca_kmer_k6_Accuracy,pca_kmer_k7_MCC,pca_kmer_k7_AUROC,pca_kmer_k7_F1,pca_kmer_k7_Accuracy,pca_kmer_k8_MCC,pca_kmer_k8_AUROC,pca_kmer_k8_F1,pca_kmer_k8_Accuracy,pca_fm_hyenadna-medium-160k-seqlen-hf_MCC,pca_fm_hyenadna-medium-160k-seqlen-hf_AUROC,pca_fm_hyenadna-medium-160k-seqlen-hf_F1,pca_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,pca_fm_DNABERT-2-117M_MCC,pca_fm_DNABERT-2-117M_AUROC,pca_fm_DNABERT-2-117M_F1,pca_fm_DNABERT-2-117M_Accuracy
deep4mc/D.melanogaster_4mC,0.2244674576219609,0.659080196348089,0.6119786489544778,0.612140221402214,0.2001350826865298,0.6390272095968192,0.6000309888021662,0.6000553505535056,0.1929675431002531,0.6364346958783241,0.5962886792280642,0.5964206642066421,0.1638259390169112,0.6169340640786481,0.5810158643199163,0.581660516605166,,,,,,,,,0.1454637899167182,0.6050895671355239,0.5727269038441533,0.5727306273062731,0.1157118113965874,0.5794696382129874,0.5575187358292908,0.5577859778597786
deep4mc/E.coli_4mC,6.836978719077349e-06,0.5714524971133141,0.4570558932322162,0.8312281644719162,0.0,0.5820099655678189,0.4545587804163002,0.833378124160172,0.0,0.5251734612143846,0.4545587804163002,0.833378124160172,-0.0164018226311653,0.4649363888859993,0.4541587208449464,0.8320343993550121,,,,,,,,,-0.0103692386576493,0.6139179869136907,0.4543988269794721,0.8328406342381081,0.0,0.5314076624606007,0.4545587804163002,0.833378124160172
deep4mc/G.pickeringii_4mC,0.0061137183764901,0.5993466644642191,0.4560667709140166,0.8326704821030168,0.0,0.6165092905928437,0.4545502645502645,0.8333495004365118,0.0,0.5877423499617666,0.4545502645502645,0.8333495004365118,-0.0044045598464682,0.5187353253919654,0.4545214032488491,0.833252497817441,,,,,,,,,0.0536090774813717,0.6230842467324754,0.4615453994699462,0.8338345135318653,0.0044079798679275,0.5724035861229007,0.4555543509488822,0.8328644873411583
deep4mc/G.subterraneus_4mC,0.0059653699677465,0.588358910047208,0.4557122970613393,0.8328744998715266,0.0,0.6083045459070111,0.4545509149881872,0.8333516866718056,-0.0038316848035756,0.5879444700684825,0.4545290725612686,0.8332782733179165,-0.0066371600682268,0.523999816826397,0.4544853824589507,0.8331314466101384,,,,,,,,,0.0155267051246064,0.6057170635331045,0.4556295497924494,0.833314979994861,0.0,0.5491937353851623,0.4545509149881872,0.8333516866718056
enhancers/enhancer,0.5057655497795546,0.8525,0.7523126864691423,0.7525,0.5702566732674554,0.861125,0.7849516141131755,0.785,0.5650635732281833,0.8606,0.7824877649367776,0.7825,0.5164545768808172,0.842575,0.7571585041464559,0.7575,,,,,,,,,0.5500275020626718,0.8455124999999999,0.7749943748593715,0.775,0.5209385348055596,0.8346250000000002,0.7597838054248824,0.76
enhancers/enhancer_strength,0.5422240884402519,0.8737055555555555,0.584853787117987,0.7,0.5025240968854201,0.8723027777777778,0.5480606959608978,0.6725,0.5439185294821902,0.8756,0.5704944595922039,0.705,0.606885666337893,0.8628166666666667,0.5817435251598008,0.735,,,,,,,,,0.5176697231273487,0.8590055555555556,0.5787302901482526,0.6875,0.5335251046162972,0.8420583333333332,0.5654424428667553,0.7025
genomic_benchmark/coding,0.8600725615099394,0.9760642176,0.9297374368360364,0.92976,0.7601607881351137,0.9527783936,0.8800799378334397,0.88008,0.7590113989336622,0.9525722496000002,0.8793832053175084,0.8794,0.7490939556847193,0.9488635712,0.8740015027346061,0.87408,,,,,,,,,0.7088656428878856,0.934233584,0.8541521131215706,0.8542,0.7038095412169876,0.9279326720000002,0.8517779386283855,0.8518
genomic_benchmark/enhancer_cohn,0.4767095343409457,0.8175585706335973,0.7383349441580755,0.7383419689119171,0.424063993293662,0.7929479588316067,0.7119840700886269,0.7120034542314335,0.4154093490141763,0.7835204955373729,0.7076722883289956,0.707685664939551,0.4002573541513524,0.7739222595751183,0.6997524269161359,0.6999136442141624,,,,,,,,,0.4154733975951984,0.7896782546817894,0.7076497590833826,0.707685664939551,0.475373908132884,0.8130124215779759,0.7375866728496268,0.73762233736327
genomic_benchmark/enhancer_ensembl,0.6229286521091164,0.897189647527282,0.8084673739516985,0.8091701646754924,0.6774320580269594,0.9321202463579648,0.836270299073441,0.8367452373264449,0.6743455140261881,0.93575054509718,0.834591253129217,0.8350984824023249,0.6848886431236131,0.9352315389740966,0.8413907181954207,0.8415886341620924,,,,,,,,,0.4173269785263756,0.7784464242949081,0.7073841294938497,0.7079108814982241,0.5452051046908027,0.8469265902434147,0.7720760491579052,0.7722311914756216
genomic_benchmark/human_vs_worm,0.8988050928275805,0.9888566272,0.9493576028725176,0.94936,0.8910698223679909,0.9871034176,0.9454341886101292,0.94544,0.8889846723569659,0.9858244032,0.9443517173096044,0.94436,0.8867518429106325,0.9847473472,0.9432738645011844,0.94328,,,,,,,,,0.6022420092572176,0.8869456736000001,0.8004274975117492,0.8006,0.8734326901660724,0.985650048,0.9335357972086372,0.93376
genomic_benchmark/open_chromatin_region,0.3636414111987122,0.7446623033774705,0.6790252745862178,0.6803330281528954,0.3394054148763071,0.7317944156590046,0.6665650316481764,0.6681162737468528,0.3390987099057734,0.7340770445356156,0.664668278231943,0.6670862897688258,0.3267189990396488,0.7280948515679432,0.6579507815196817,0.6607061112382696,,,,,,,,,0.2862408424251575,0.6958524055827064,0.6389724611433216,0.641279468986038,0.3093149659280554,0.7123955262112469,0.6528634874923438,0.6538109407186999
genomic_benchmark/promoter_notata_251bps,0.7523854895718347,0.9465495111481246,0.8723115504405381,0.872371042727474,0.741577587461293,0.9628452322648412,0.8634027456303532,0.8634049147664379,0.8544569255083014,0.9799827462591169,0.9272091054823636,0.9277175116227584,0.8569267234736017,0.9947911781173367,0.923298104887922,0.925282266991366,,,,,,,,,0.6734092002362438,0.9175417395554484,0.8332045821967999,0.8332964356874032,0.683537347363149,0.9263122018228308,0.8416602080177963,0.8425946424618109
genomic_benchmark/regulatory_region_type,0.4745269090110082,0.8255308860399001,0.6415650109028123,0.6492124824562924,0.4084769716329516,0.7985620026660439,0.5791950559666122,0.599934156949041,0.4091941048562159,0.8000640005503606,0.5571628466230184,0.5944587874482352,0.4010088270558095,0.7962824655973776,0.5353907061614781,0.5873373416734531,,,,,,,,,0.5675690132305818,0.86225765804235,0.7041612920462809,0.711104950357805,0.4863079241443448,0.8281632128681279,0.6543759196221829,0.6587943790827023
iDHS-EL/DNase_I,0.4691174625841153,0.8262280137280138,0.7134785989747823,0.8071895424836601,0.458411152348311,0.862022737022737,0.7069901053303542,0.803921568627451,0.2164332887173091,0.850117975117975,0.509816807689148,0.7450980392156863,0.0,0.8341913341913342,0.4204545454545454,0.7254901960784313,,,,,,,,,0.5077606592570754,0.8114543114543115,0.7457264957264957,0.8169934640522876,0.266410089298844,0.8101673101673103,0.5553273526961306,0.7549019607843137
