model,dataset,split,max_length,n_sequences,n_truncated,truncation_rate,mean_tokens,max_tokens,fraction_retained_mean
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_5,train,32768,13180,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_5,test,32768,5650,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_all_300bps,train,32768,41437,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_all_300bps,test,32768,17759,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_all_70bps,train,32768,41437,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_all_70bps,test,32768,17759,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_notata_300bps,train,32768,37146,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_notata_300bps,test,32768,15920,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_notata_70bps,train,32768,37146,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_notata_70bps,test,32768,15920,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_tata_300bps,train,32768,4290,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_tata_300bps,test,32768,1840,0,0.0,300.0,300,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_tata_70bps,train,32768,4290,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,prom/promoter_tata_70bps,test,32768,1840,0,0.0,70.0,70,1.0
InstaDeepAI/NTv3_650M_pre,splice/acceptors,train,32768,15525,0,0.0,600.0,600,1.0
InstaDeepAI/NTv3_650M_pre,splice/acceptors,test,32768,6654,0,0.0,600.0,600,1.0
InstaDeepAI/NTv3_650M_pre,splice/donors,train,32768,15381,0,0.0,600.0,600,1.0
InstaDeepAI/NTv3_650M_pre,splice/donors,test,32768,6592,0,0.0,600.0,600,1.0
InstaDeepAI/NTv3_650M_pre,splice/splice_site_type_DNABERT,train,32768,31933,0,0.0,400.0,400,1.0
InstaDeepAI/NTv3_650M_pre,splice/splice_site_type_DNABERT,test,32768,13687,0,0.0,400.0,400,1.0
InstaDeepAI/NTv3_650M_pre,splice/splice_site_type_NT,train,32768,20999,0,0.0,400.0,400,1.0
InstaDeepAI/NTv3_650M_pre,splice/splice_site_type_NT,test,32768,9001,0,0.0,400.0,400,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_1,train,32768,24064,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_1,test,32768,10314,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_2,train,32768,22870,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_2,test,32768,9802,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_3,train,32768,14699,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_3,test,32768,6301,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_4,train,32768,20505,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_4,test,32768,8789,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_5,train,32768,14699,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,tf/Human_TFBS_5,test,32768,6301,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,virus/covid_variants,train,32768,64168,0,0.0,999.0,999,1.0
InstaDeepAI/NTv3_650M_pre,virus/covid_variants,test,32768,27501,0,0.0,999.0,999,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3,train,32768,10475,0,0.0,499.9618138424821,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3,test,32768,4490,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K14ac,train,32768,23133,0,0.0,499.980504041845,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K14ac,test,32768,9915,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K36me3,train,32768,24415,0,0.0,499.9901290190457,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K36me3,test,32768,10465,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me1,train,32768,22173,0,0.0,499.99052902178323,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me1,test,32768,9504,0,0.0,499.98000841750843,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me2,train,32768,21478,0,0.0,499.9813762920197,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me2,test,32768,9205,0,0.0,500.0,500,1.0
