dataset,biocat,gc_content_mean,seq_len_mean,n_train,n_test,n_classes,kmer_k4_MCC,kmer_k5_MCC,kmer_k6_MCC,kmer_k4_AUROC,kmer_k5_AUROC,kmer_k6_AUROC,best_k,delta_k6_k4
genomic_benchmark/human_vs_worm,enhancer/generic,0.3711,200.0,75000.0,25000.0,2.0,0.8805642858929225,0.8526549413739801,0.7812284901125139,0.9856814208,0.9792732480000002,0.959867248,4,-0.09933579578040852
genomic_benchmark/open_chromatin_region,enhancer/generic,0.4166,326.3,139804.0,34952.0,2.0,0.3447417055691516,0.34561111052306,0.3521533704456454,0.7358937465217315,0.7375677782684251,0.7411256576785998,6,0.007411664876493751
genomic_benchmark/promoter_notata_251bps,enhancer/generic,0.5605,251.0,27097.0,9034.0,2.0,0.7709718857136543,0.7835145339749172,0.7647858884649208,0.9770055497968994,0.9789033625036644,0.9593065112496316,5,-0.006185997248733477
genomic_benchmark/regulatory_region_type,enhancer/generic,0.4611,430.0,150000.0,57713.0,3.0,0.8302014479728175,0.8239442868325784,0.7264651934699327,0.971232488046906,0.9667114456237343,0.9469085807938264,4,-0.10373625450288482
iDHS-EL/DNase_I,enhancer/generic,0.5103,242.6,711.0,306.0,2.0,0.5541318506816152,0.5968101769219415,0.5968101769219415,0.8533086658086658,0.856123981123981,0.857947232947233,5,0.0426783262403263
iDNA_ABF/5mC,methylation,0.5355,41.0,3281.0,1407.0,2.0,0.4741182736614529,0.3952028703016922,0.3174979732177252,0.8165896159317212,0.7832665201086254,0.7120841684986422,4,-0.1566203004437277
iDNA_ABF/6mA,methylation,0.4884,41.0,25668.0,11002.0,2.0,0.5176495660077043,0.4921725576073377,0.4595367926555976,0.8359695371610477,0.8298362304670622,0.8131903501804187,4,-0.058112773352106684
iPro-WAEL/Promoter_Arabidopsis_NonTATA,promoter,0.3743,251.0,8267.0,3543.0,2.0,0.7911991840381203,0.8053905478625556,0.7781905225664866,0.9609213781605576,0.9590410080644648,0.9520809938907886,5,-0.013008661471633709
iPro-WAEL/Promoter_Arabidopsis_TATA,promoter,0.3709,251.0,3063.0,1313.0,2.0,0.7875570194300952,0.7559018149912003,0.7508103188992693,0.9645856533036378,0.9644193887651572,0.9634527344716656,4,-0.03674670053082585
iPro-WAEL/Promoter_B_amyloliquefaciens,promoter,0.3935,40.0,1483.0,636.0,2.0,0.6135288988226918,0.6084191516409551,0.5477589755066715,0.878029726175054,0.8786131740553583,0.8609811813336233,4,-0.06576992331602027
iPro-WAEL/Promoter_GM12878,promoter,0.5194,1622.9,10992.0,2750.0,2.0,0.8741820493704899,0.8705454545454545,0.8603636363636363,0.9786512396694216,0.975084429752066,0.9736679669421489,4,-0.013818413006853603
iPro-WAEL/Promoter_HUVEC,promoter,0.537,1323.2,11928.0,2982.0,2.0,0.902472192133314,0.8972594628352032,0.8953108855173527,0.9816754315294854,0.9814482693163228,0.9804208663561966,4,-0.00716130661596126
