dataset,ckmer_lp_k4_MCC,ckmer_lp_k4_AUROC,ckmer_lp_k4_F1,ckmer_lp_k4_Accuracy,ckmer_lp_k5_MCC,ckmer_lp_k5_AUROC,ckmer_lp_k5_F1,ckmer_lp_k5_Accuracy,ckmer_lp_k6_MCC,ckmer_lp_k6_AUROC,ckmer_lp_k6_F1,ckmer_lp_k6_Accuracy,ckmer_k4_MCC,ckmer_k4_AUROC,ckmer_k4_F1,ckmer_k4_Accuracy,ckmer_k5_MCC,ckmer_k5_AUROC,ckmer_k5_F1,ckmer_k5_Accuracy,ckmer_k6_MCC,ckmer_k6_AUROC,ckmer_k6_F1,ckmer_k6_Accuracy
iPro-WAEL/Promoter_NHEK,0.7897374444755768,0.9520423481834092,0.8948068135005183,0.8948140900195695,0.7945205479452054,0.95875092390118,0.8972602739726028,0.8972602739726028,0.7986546890812783,0.9598710942436648,0.899203324587778,0.8992172211350293,0.7689359812215444,0.9476282068466344,0.8828601895228885,0.8830724070450098,0.7680187548751397,0.9437636191650614,0.8823651285120686,0.8825831702544031,0.7597881174042874,0.9402001371011908,0.8784736906203761,0.8786692759295499
enhancers/enhancer_strength,0.3202611091269609,0.7181333333333333,0.5107191037930359,0.57,0.2951785817824122,0.7263666666666667,0.4784209622139032,0.555,0.3396004072496047,0.7407805555555557,0.5030339870535666,0.58,0.480678102422528,0.8816916666666667,0.4946028970904815,0.6475,0.4818194901096296,0.8726555555555556,0.4987793718376164,0.6475,0.4623519905515207,0.8174194444444445,0.4816158888232481,0.64
mouse/mouse_TFBS_4,0.4855631620653827,0.8218002284712768,0.7425722425722425,0.7426573426573426,0.5862263852384018,0.8880256013019733,0.7929579889807163,0.793006993006993,0.6731552427168989,0.9121559238220428,0.8363008752927916,0.8363636363636363,0.4886139003978841,0.8366704223588877,0.741723206432969,0.7426573426573426,0.629254981908989,0.8877830461793654,0.8101056640744114,0.8111888111888111,0.6734264372057883,0.906561507284478,0.8327485380116959,0.8335664335664336
iPro-WAEL/Promoter_GM12878,0.8727385823385446,0.9690266446280992,0.936363224039402,0.9363636363636364,0.8705491381991882,0.9691927272727272,0.9352725903287862,0.9352727272727271,0.8735876297007313,0.9702918347107438,0.9367224531746152,0.9367272727272729,0.8792736574139477,0.981740429752066,0.9396363317084728,0.9396363636363636,0.875642153025109,0.9796043636363636,0.9378179762577727,0.9378181818181818,0.8669148225962873,0.9764046280991736,0.9334543254688444,0.9334545454545454
mouse/mouse_TFBS_3,0.6933071610734528,0.9204129617670924,0.8463370826065126,0.8463886063072228,0.7681623275537586,0.953964035567036,0.8840226030799802,0.884028484231943,0.7768477272163001,0.9538978027254814,0.888055838530408,0.8880976602238047,0.7003468453899907,0.942172519994039,0.8492706174886034,0.8494404883011191,0.7741735180351813,0.9667966486182172,0.8870784964497611,0.8870803662258393,0.8053383447806529,0.9694956369115626,0.9022951851637112,0.9023397761953204
mouse/mouse_TFBS_1,0.4584517420957604,0.8073288285999762,0.729213521203089,0.7292181069958847,0.5491170265111857,0.85740452844248,0.7744556509391076,0.7744855967078189,0.5836727490588246,0.8742535860048435,0.7917457061249709,0.7917695473251029,0.4515259584097527,0.8040298734948941,0.7253632924074975,0.7255144032921811,0.504995089362229,0.8406645328456027,0.7496887640243168,0.7506172839506173,0.5436732353580291,0.8526538976104591,0.7668111217641419,0.768312757201646
iPro-WAEL/Promoter_Hela-S3,0.8873954781823198,0.976711164237614,0.9434453744068086,0.9434604904632152,0.8850500968351606,0.9764220723295888,0.9424330757124602,0.9424386920980926,0.9008794507077608,0.97729259627735,0.9502632477870848,0.9502724795640328,0.8860323514877233,0.983078610725449,0.9427639933755654,0.9427792915531336,0.8767544201788714,0.9823083176799888,0.9379849999350084,0.9380108991825612,0.8728715609439694,0.9795171654700828,0.935932935537368,0.935967302452316
iPro-WAEL/Promoter_HUVEC,0.904843312863431,0.9793021486846408,0.9523788102552384,0.9523809523809524,0.8967208756860899,0.9808814883488276,0.9483565984367578,0.9483568075117372,0.8998628078273753,0.9781699362281449,0.9496851525643362,0.9496981891348087,0.9057751147865952,0.9843406515552064,0.9527073576118172,0.9527162977867204,0.9025469623622816,0.984087849250657,0.9510268818292872,0.9510395707578806,0.9005940698383731,0.9826663985702726,0.9500189151000542,0.9500335345405768
prom/promoter_tata_300bps,0.360872976131206,0.7427687854442344,0.6804332723689621,0.6804347826086956,0.404425240028372,0.767414343100189,0.7021454085279901,0.7021739130434783,0.402177714363091,0.7661300803402646,0.7010855438825325,0.7010869565217391,0.3426993620705061,0.7370870746691871,0.6710478685633521,0.6711956521739131,0.3711368010479026,0.7526931710775047,0.685120637845286,0.6853260869565218,0.385497425448371,0.7508347117202269,0.6921061096289569,0.6923913043478261
genomic_benchmark/enhancer_cohn,0.4528214761865708,0.804083977397355,0.7261562917367728,0.7262521588946459,0.4556030602987159,0.8087048653887138,0.7276256116481681,0.7276914219919401,0.4488068798482467,0.8066266755359079,0.7243674079523407,0.7243811168681635,0.425570595529866,0.794674494534446,0.7126810902408172,0.7127230857800806,0.4011272202511589,0.7841343988354647,0.7001824306931247,0.7003454231433506,0.391887613634526,0.7770383428969341,0.6950696753412087,0.6954519286125503
prom/promoter_tata_70bps,0.4676079215170559,0.8046532372400756,0.7336339700592291,0.7336956521739131,0.5011938505886693,0.8262931238185255,0.7505168763564405,0.7505434782608695,0.5371101125169787,0.8416487476370511,0.7684451581570617,0.7684782608695652,0.4782653900534055,0.8115577741020794,0.7391292019338466,0.7391304347826086,0.4804756565675779,0.8199604206049149,0.7402063414795526,0.7402173913043478,0.503368227380811,0.8311005434782607,0.7516039487906172,0.7516304347826087
EMP/Yeast_H3K79me3,0.5503822577758691,0.8473359945488005,0.7744913532436839,0.7764678687008784,0.5681054091457303,0.8548721704465584,0.7834094445859152,0.7852519648636154,0.5797400374823585,0.8623403673121187,0.789516096348105,0.7910309754969949,0.5583011682798211,0.8513747109415659,0.777517898501646,0.7801664355062413,0.5683856738397857,0.8603130147386266,0.781634511097342,0.7847896440129449,0.5891081520312161,0.8687022282314184,0.7902703180915392,0.7941516412390199
EMP/Yeast_H3K9ac,0.4113174013076883,0.7734228891964741,0.7055210522526789,0.7100179964007198,0.4203052433553191,0.7829741676986961,0.7100856864995575,0.7142171565686862,0.437884942813697,0.7929018722226269,0.7189255573933565,0.722615476904619,0.4135675511507277,0.778747111532017,0.7062994420805239,0.7116976604679064,0.4268827056107711,0.79016752385809,0.7095792058477113,0.719136172765447,0.4370450382856275,0.8149607634588767,0.7048514777718131,0.7220155968806239
EMP/Yeast_H3K4me2,0.2752514149540211,0.6912015911261683,0.6243552029565278,0.6619228680065182,0.2803008623232478,0.696290579191843,0.6303548065339326,0.6632265073329712,0.2753648184434235,0.6926730292569564,0.6338781906364435,0.6579033134166214,0.274287611967525,0.7046947227381779,0.612261665457271,0.6627919608908202,0.2843786677686504,0.7182593995497096,0.6019158206566984,0.6662683324280283,0.2921481660429801,0.7407732820044142,0.5763366144668158,0.6647474198804997
EMP/Yeast_H3K4me1,0.3082974861438818,0.7057680665335615,0.6494695894271281,0.6599326599326599,0.3213871368876093,0.7136998221295168,0.6577584333342424,0.6660353535353535,0.3164915264536658,0.7141073526943091,0.6562516440046299,0.6634048821548821,0.3208043627456657,0.7127019347879663,0.6531402450964328,0.6659301346801347,0.334646251252129,0.7290584740284092,0.6543561539904432,0.6717171717171717,0.3567743135933772,0.7525872029687941,0.6597706645191788,0.6806607744107744
deep4mc/G.pickeringii_4mC,0.0811699927889737,0.6598995158183922,0.4762001260620281,0.8336405082937239,0.0782547019705948,0.6688257291756581,0.4775290499452771,0.8330584925792996,0.1054834202350932,0.6562866166490666,0.5056605418601102,0.8292753904355418,0.0395620311099279,0.6351674445019148,0.4597231457598519,0.8334465030555825,-0.0044045598464682,0.6400415113469181,0.4545214032488491,0.833252497817441,0.0,0.6417910478098678,0.4545502645502645,0.8333495004365118
EMP/Yeast_H3K14ac,0.336766068587458,0.7352173066616432,0.6660177997895662,0.6785678265254664,0.3646565058751677,0.7488187890683038,0.6809466227384431,0.6912758446797781,0.3720140989681477,0.7602939840118439,0.6855154535477546,0.6937972768532527,0.359823505046262,0.7515837089815975,0.6700452611470499,0.6907715582450832,0.3640372093753097,0.7683995792031924,0.6611570214706093,0.6913767019667171,0.4056994545295398,0.8054653837581983,0.6626245224229547,0.7041855774079677
mouse/mouse_TFBS_5,0.3943631906126507,0.766716767170491,0.6971578104739793,0.6971681415929204,0.4237220173874432,0.7895207455556427,0.7118566379168622,0.711858407079646,0.4230174365441645,0.792948046049025,0.7115014966398281,0.7115044247787611,0.3908817171376478,0.7651250371994675,0.6953650110612735,0.6953982300884956,0.41751257679818,0.7804453911817684,0.7086141477185496,0.7086725663716814,0.4041022929313852,0.7722223510063435,0.7015623583967034,0.7017699115044248
EMP/Yeast_H4ac,0.3242059455029498,0.7244225150029405,0.6612617239246348,0.6657542281747971,0.3444768410821061,0.7369840944090467,0.6716921767264336,0.6755303548733992,0.3661574107688836,0.7481044573559751,0.6827806699776777,0.6859908104409033,0.3448890768786937,0.737474759763271,0.6672519488242821,0.6764102062762734,0.3631704889897478,0.7525409524548234,0.6718177207870646,0.684426630169127,0.4119995473954909,0.7902328084564498,0.6871563804879739,0.7045654511682471
EMP/Yeast_H3K36me3,0.40210518239966,0.76464552577777,0.7004043460365589,0.7042522694696608,0.4248465884726811,0.777800911796643,0.711978663946768,0.7153368370759675,0.4295047645566767,0.7848066209341318,0.7144309215528277,0.7175346392737697,0.4114493697956525,0.7726535374305483,0.7042254143607012,0.7091256569517439,0.4292370697707858,0.7872655574989603,0.710142325453196,0.7176301958910655,0.4539448010064243,0.8057580241944322,0.7184193751738723,0.728428093645485
iDNA_ABF/6mA,0.44519190100604,0.801125250285012,0.7225958549878577,0.7225958916560625,0.4686550821655591,0.8174324438243137,0.7343173428685766,0.7343210325395383,0.4911473739893234,0.8297651488792457,0.7454630593242209,0.7455008180330849,0.4619985872792071,0.8099453484701316,0.7309339649881816,0.7309580076349754,0.4635662440095532,0.8137703045580018,0.7317719434192163,0.7317760407198691,0.4318381645471497,0.7987958329600531,0.7152343133545367,0.7155062715869842
EMP/Yeast_H3K4me3,0.2181349121392106,0.6530635928798999,0.6067190564502141,0.6130434782608696,0.2459274940451508,0.6702675691780499,0.6212946751068285,0.6264492753623189,0.2798221546964759,0.6916142505759462,0.6392553446682813,0.6426630434782609,0.2543913158575991,0.6804933500667548,0.6164145934378173,0.6307065217391304,0.3011280249927924,0.7115331835490606,0.630580558167501,0.6507246376811594,0.3694256205240933,0.7680959235471997,0.6553946405751785,0.6788949275362319
genomic_benchmark/promoter_notata_251bps,0.6455952112664674,0.8911834273200366,0.8205558943995004,0.8207881337170688,0.6734772859628984,0.9087990373864804,0.8350843218379493,0.8353996015054239,0.7262055242950017,0.9291194788214404,0.8616568391231001,0.8619659065751605,0.7652667854201123,0.9698041752274708,0.8745780028486435,0.8745849014832854,0.7763513678987835,0.9780572722443224,0.8808936925873472,0.8808943989373478,0.7771579923739886,0.9733986140202824,0.8796592577750777,0.8796767766216516
splice/acceptors,0.224392538697107,0.6587562566632335,0.6120100483614459,0.612263300270514,0.3094950859039973,0.7147679839540305,0.6546643146066654,0.6547941088067328,0.3765492859807816,0.755635424007517,0.6882671175971777,0.6883077847911031,0.4549990265817764,0.8020162266673895,0.7262700920448641,0.7269311692215209,0.4945856824966308,0.8151291086174808,0.7449917492168288,0.7460174331229336,0.5041987441006894,0.8207919083500478,0.7476804608266943,0.7494740006011422
splice/donors,0.2401432516792728,0.6730303030303031,0.6199082036843052,0.6199939320388349,0.3317871465424301,0.7235340955116167,0.6657433404448903,0.6658070388349514,0.396041260491236,0.7614772267020142,0.6979396437255778,0.6979672330097088,0.4626585632826465,0.8094604919179647,0.7308926527343165,0.7310376213592233,0.4913265854494046,0.8195251113811259,0.7442257672493158,0.7446905339805825,0.4986024965012023,0.8246992709599028,0.7472037107387033,0.747876213592233
tf/Human_TFBS_3,0.5029367912110329,0.8260274138217648,0.7514677142164564,0.7514680209490557,0.5321611643306089,0.8446049377118878,0.766063215524598,0.76606887795588,0.5410365868165209,0.8562216076528992,0.7705105303882098,0.7705126170449135,0.5219931429061955,0.8352786971130355,0.7602962509851827,0.7605142040945881,0.5465759710734577,0.8474855551021848,0.7725075763305852,0.7727344865894302,0.5215846025225255,0.8402311183650442,0.7603890593347868,0.7605142040945881
tf/Human_TFBS_5,0.5653027191565914,0.8627566960350203,0.7825433856725006,0.7825741945722902,0.6267288762130132,0.8897954290147245,0.8133623894527495,0.8133629582605936,0.6673775421511241,0.9102602852206152,0.833674575794414,0.8336771940961752,0.7149269707417243,0.9390244467616732,0.8569168572211092,0.857006824313601,0.7240213681331429,0.9418247671437134,0.8613448291724772,0.8614505634026345,0.6983687524346777,0.9278976187957464,0.8488552760427774,0.8489128709728615
tf/Human_TFBS_4,0.3697047855292895,0.7480386689264449,0.6848160753792197,0.6848333143702355,0.4054084624129088,0.7739869705457283,0.7026903943626274,0.7026965525088178,0.4193097356744567,0.7885438981587779,0.7096239609419825,0.7096370463078848,0.384027377800213,0.7670915401755315,0.6919921785212737,0.6920013653430425,0.4141939641887317,0.7863064381411615,0.7069673184756431,0.707020138809876,0.415282882284746,0.785314134539653,0.7065861934816211,0.707020138809876
splice/splice_site_type_NT,0.1495519182008975,0.621326604164341,0.4267217005069872,0.4321742028663481,0.156004412982859,0.6274524216621825,0.4344257520289429,0.4370625486057105,0.151730652037229,0.6202003081804607,0.4324459697480748,0.4343961782024219,0.1951821237912255,0.6653167755051427,0.4571226209907524,0.4623930674369514,0.1877916160099204,0.6626270306165234,0.4532715783578097,0.4577269192311965,0.1758079370157647,0.6532209952123386,0.4451524037757366,0.4498389067881346
tf/Human_TFBS_2,0.5132289581449583,0.8357962665885534,0.7565640740536729,0.7565802897367884,0.5235762400489896,0.8433728072934494,0.7616326629870346,0.7616812895327484,0.5295378378218375,0.846413881613757,0.7645825116537737,0.7646398694144052,0.5362423994315795,0.8481499076532732,0.7678107217280812,0.7679045092838196,0.5371231916696456,0.8475810436564399,0.7682051806220884,0.7683125892674965,0.5197857552531759,0.8372116821450768,0.7590764490136994,0.7593348296266068
tf/Human_TFBS_1,0.5455480377622569,0.8521284864485332,0.7727202851899762,0.7727360868722125,0.5598458530658486,0.8603224656208097,0.7799060339497451,0.7799108008532092,0.5637284846393467,0.8616657057590796,0.7818443675189112,0.7818499127399651,0.5780200604508878,0.8688636950989653,0.7885003277962161,0.7886368043436106,0.575912993097197,0.8653608851916037,0.7874278388032161,0.7875702928058949,0.5466096805877289,0.8518473772675097,0.7727742829509343,0.7729299980608881
