dataset,n_train,n_test,n_classes,class_balance,seq_len_mean,seq_len_std,seq_len_min,seq_len_max,gc_content_mean,kmer_k4_AUROC,kmer_k4_Accuracy,kmer_k4_F1,kmer_k4_MCC,kmer_k5_AUROC,kmer_k5_Accuracy,kmer_k5_F1,kmer_k5_MCC,kmer_k6_AUROC,kmer_k6_Accuracy,kmer_k6_F1,kmer_k6_MCC,kmer_multi_k4_5_6_AUROC,kmer_multi_k4_5_6_Accuracy,kmer_multi_k4_5_6_F1,kmer_multi_k4_5_6_MCC,fm_NTv3_650M_pre_AUROC,fm_NTv3_650M_pre_Accuracy,fm_NTv3_650M_pre_F1,fm_NTv3_650M_pre_MCC,fm_hyenadna-medium-160k-seqlen-hf_AUROC,fm_hyenadna-medium-160k-seqlen-hf_Accuracy,fm_hyenadna-medium-160k-seqlen-hf_F1,fm_hyenadna-medium-160k-seqlen-hf_MCC,fm_DNABERT-2-117M_AUROC,fm_DNABERT-2-117M_Accuracy,fm_DNABERT-2-117M_F1,fm_DNABERT-2-117M_MCC
deep4mc/A.thaliana_4mC,156697.0,67157.0,2.0,1.0,41.0,0.0,41.0,41.0,0.4282,0.6363040471893684,0.5980612594368421,0.5980435311746923,0.1961400579652814,0.641110985294677,0.5997289932546124,0.597016253366424,0.2021958359642879,0.6374613073889168,0.5913903241657609,0.5813027595576797,0.1922746020527251,0.6417977748676276,0.6019774558124991,0.6012415555574369,0.204710346441115,0.6309507299775319,0.5958574683205027,0.5956157230467582,0.1919454364417682,0.5925033616074062,0.5669103741977753,0.566883804088678,0.1338374350161441,0.5735177894140862,0.553404708369939,0.5534002997692606,0.1068116293471023
deep4mc/C.elegans_4mC,84926.0,36398.0,2.0,1.0,41.0,0.0,41.0,41.0,0.415,0.64949669735022,0.6081103357327325,0.6081089679153788,0.216222180831382,0.6664435239639801,0.6185504698060333,0.6176605659783986,0.238212422449133,0.6735255227493737,0.6213528215836035,0.6163558541549762,0.2492864186727509,0.6700969836375661,0.6218198802131986,0.621077568428953,0.2445999915309422,0.628655882277077,0.5937414143634265,0.5937405529727418,0.1874836237704671,0.5968470644737948,0.5692895214022748,0.5692521561888464,0.1386030911357534,0.5806455045155141,0.5614868948843343,0.5614189602541602,0.1230119038788292
deep4mc/D.melanogaster_4mC,126466.0,54200.0,2.0,1.0,41.0,0.0,41.0,41.0,0.4617,0.6589830108522488,0.6144649446494465,0.6144643377960193,0.2289306099976899,0.6671457816478533,0.617970479704797,0.6169467227357095,0.2372123246116766,0.6614281041924811,0.6118450184501845,0.6082919801357348,0.2278619305122458,0.6688073787121636,0.6214206642066421,0.6209795633747652,0.2434085429787509,0.6402592067101482,0.6012730627306273,0.6011672071658161,0.2026537280551684,0.6108740989365613,0.5785239852398524,0.5784851862019679,0.1570768899533749,0.5866061205593606,0.5626752767527675,0.562296220994954,0.125568228808979
deep4mc/E.coli_4mC,8681.0,3721.0,2.0,0.2,41.0,0.0,41.0,41.0,0.506,0.6685262818445663,0.833378124160172,0.4545587804163002,0.0,0.6928748270589092,0.833378124160172,0.4545587804163002,0.0,0.6863134680800158,0.833378124160172,0.4545587804163002,0.0,0.6965515806555638,0.833378124160172,0.4545587804163002,0.0,0.6214618593377788,0.833378124160172,0.4545587804163002,0.0,0.6157779488406445,0.832303144316044,0.4573966300180034,0.010385982373169,0.5482019327792284,0.8328406342381081,0.4543988269794721,-0.0103692386576493
deep4mc/G.pickeringii_4mC,24053.0,10309.0,2.0,0.2,41.0,0.0,41.0,41.0,0.5803,0.6592439308592295,0.8334465030555825,0.4557316234369646,0.0228919456076237,0.6608807928919305,0.8333495004365118,0.4545502645502645,0.0,0.6676189677341896,0.8333495004365118,0.4545502645502645,0.0,0.668225702263882,0.833252497817441,0.4545214032488491,-0.0044045598464682,0.6545929770020851,0.8340285187700068,0.4655244348041858,0.0657643486241893,0.631338343223795,0.8339315161509361,0.4698824652854121,0.0726505617048337,0.5856864311935941,0.8331554951983704,0.4544925388930045,-0.0062292904365417
deep4mc/G.subterraneus_4mC,63567.0,27243.0,2.0,0.2,41.0,0.0,41.0,41.0,0.5433,0.6595846849016247,0.8331314466101384,0.4544853824589507,-0.0066371600682268,0.6731172654509554,0.8333516866718056,0.4545509149881872,0.0,0.6708106557362735,0.8333516866718056,0.4545509149881872,0.0,0.6767025879674735,0.833241566640972,0.4545181506917886,-0.0046929224498767,0.6345266912463392,0.833314979994861,0.4558468813837601,0.017289940495174,0.6063006577368241,0.8330947399331938,0.4570778154847489,0.0199660919190079,0.5630597539846565,0.8332048599640275,0.4545072283849265,-0.0054190195484109
enhancers/enhancer,14968.0,400.0,2.0,1.0,199.3,0.4,199.0,200.0,0.4401,0.8575999999999999,0.75,0.7479584635547938,0.5083022996014029,0.8575249999999999,0.7525,0.7487293701102165,0.5208746559314252,0.8262,0.72,0.7111540941328176,0.4697092511615889,0.8543,0.765,0.7644110275689223,0.5326700420873823,0.850875,0.7525,0.7519403153364779,0.5072943541423918,0.832475,0.765,0.7649941248531213,0.5300265019876657,0.83315,0.755,0.7542566262945409,0.5131137862772546
enhancers/enhancer_strength,14968.0,400.0,3.0,0.5,199.3,0.4,199.0,200.0,0.4401,0.8753694444444443,0.64,0.4948362467349809,0.473895749303635,0.8545416666666666,0.635,0.4855321918993177,0.4661662382004545,0.7864416666666666,0.6275,0.4759717712151388,0.4287374326540295,0.8615472222222221,0.6975,0.5957316773654032,0.5363831291467198,0.8601666666666666,0.685,0.5658971009662356,0.5192178681519504,0.8446972222222221,0.69,0.5816131662688943,0.5197416439608005,,,,
genomic_benchmark/coding,75000.0,25000.0,2.0,1.0,200.0,0.0,200.0,200.0,0.4697,0.9474391104,0.87372,0.8736948179801178,0.7477382191867453,0.9381893376,0.85784,0.8578130786695639,0.7159511643016548,0.9144225984,0.82712,0.8270853296402707,0.6545025154855207,0.946276544,0.87312,0.8731169783569694,0.7462755450551847,0.97852672,0.93376,0.9337351633030636,0.8681710417900512,0.9399808576,0.86252,0.8624824700358905,0.7254360662141138,,,,
genomic_benchmark/enhancer_cohn,20843.0,6948.0,2.0,0.9999,500.0,0.0,500.0,500.0,0.4303,0.7870252710405019,0.7040875071963155,0.7040539368062817,0.4082676478885972,0.7792106607220213,0.697754749568221,0.697542630262221,0.3960654262495107,0.7702378454770018,0.6878238341968912,0.6872676887633042,0.3769908999218447,0.7765093702076351,0.6967472654001151,0.6966753278451692,0.3936813088183461,0.8179598988323159,0.7390616004605642,0.7390615950552819,0.478123220729566,0.7933961438686398,0.7109959700633276,0.7109758295502051,0.42205076504349,,,,
