dataset,group,RF_MCC,LP_MCC,kmer_size,delta_MCC,RF_wins,LP_wins,tie
genomic_benchmark/regulatory_region_type,genomic_benchmark,0.8239442868325784,0.4463650649271626,5,0.37757922190541576,True,False,False
iDHS-EL/DNase_I,iDHS-EL,0.5968101769219415,0.6095551548850041,5,-0.01274497796306262,False,True,False
iDNA_ABF/5mC,iDNA_ABF,0.3952028703016922,0.3731355045474719,5,0.022067365754220303,True,False,False
iDNA_ABF/6mA,iDNA_ABF,0.4921725576073377,0.5355390017590463,5,-0.04336644415170865,False,True,False
iPro-WAEL/Promoter_Arabidopsis_NonTATA,iPro-WAEL,0.8053905478625556,0.8285300621474014,5,-0.02313951428484584,False,True,False
iPro-WAEL/Promoter_Arabidopsis_TATA,iPro-WAEL,0.7559018149912003,0.7963127566356061,5,-0.04041094164440573,False,True,False
iPro-WAEL/Promoter_B_amyloliquefaciens,iPro-WAEL,0.6084191516409551,0.6292016980151628,5,-0.020782546374207733,False,True,False
iPro-WAEL/Promoter_GM12878,iPro-WAEL,0.8705454545454545,0.8655554994345525,5,0.004989955110902056,True,False,False
iPro-WAEL/Promoter_HUVEC,iPro-WAEL,0.8972594628352032,0.9064629939364164,5,-0.009203531101213192,False,True,False
iPro-WAEL/Promoter_Hela-S3,iPro-WAEL,0.8748898917318654,0.8949544133218462,5,-0.020064521589980844,False,True,False
iPro-WAEL/Promoter_NHEK,iPro-WAEL,0.7402719939039719,0.77904549122284,5,-0.03877349731886803,False,True,False
iPro-WAEL/Promoter_R_capsulatus,iPro-WAEL,0.3841810173182615,0.3436380057722216,5,0.0405430115460399,True,False,False
mouse/mouse_TFBS_1,mouse,0.5006563550661874,0.5236996769301087,5,-0.023043321863921218,False,True,False
mouse/mouse_TFBS_2,mouse,0.6982134667906812,0.6870592056370937,5,0.01115426115358753,True,False,False
mouse/mouse_TFBS_3,mouse,0.7613526697459722,0.7383591757117742,5,0.022993494034197925,True,False,False
mouse/mouse_TFBS_4,mouse,0.6261643186147426,0.5920394167368559,5,0.03412490187788675,True,False,False
mouse/mouse_TFBS_5,mouse,0.3916988592317517,0.4077888625066918,5,-0.01609000327494009,False,True,False
prom/promoter_all_300bps,prom,0.7301055046732726,0.7594459849394148,5,-0.02934048026614222,False,True,False
prom/promoter_all_70bps,prom,0.5260252842561606,0.5620582858048988,5,-0.03603300154873823,False,True,False
prom/promoter_notata_300bps,prom,0.8257422634928858,0.8446375089403306,5,-0.01889524544744481,False,True,False
prom/promoter_notata_70bps,prom,0.5431623408298308,0.5946715337676559,5,-0.05150919293782508,False,True,False
prom/promoter_tata_300bps,prom,0.4666421571512529,0.4902176808942732,5,-0.0235755237430203,False,True,False
prom/promoter_tata_70bps,prom,0.5065408903767932,0.5185153252580529,5,-0.01197443488125971,False,True,False
splice/acceptors,splice,0.5393905300222336,0.3957821399883844,5,0.14360839003384918,True,False,False
splice/donors,splice,0.5462599307924165,0.4038234996985159,5,0.14243643109390064,True,False,False
splice/splice_site_type_DNABERT,splice,0.2238488726192558,0.1858705952135965,5,0.03797827740565929,True,False,False
splice/splice_site_type_NT,splice,0.2122215882743552,0.1964891668926637,5,0.01573242138169148,True,False,False
tf/Human_TFBS_1,tf,0.5468602746952076,0.5549803433155388,5,-0.008120068620331211,False,True,False
tf/Human_TFBS_2,tf,0.5160266991915382,0.5272757689097888,5,-0.01124906971825057,False,True,False
tf/Human_TFBS_3,tf,0.5099462178852662,0.5248376251946334,5,-0.014891407309367222,False,True,False
tf/Human_TFBS_4,tf,0.395256300350038,0.4013426786113453,5,-0.0060863782613073125,False,True,False
tf/Human_TFBS_5,tf,0.687860613233612,0.6216649289766641,5,0.06619568425694788,True,False,False
virus/covid_variants,virus,0.6707202293146162,0.5862768553943216,5,0.08444337392029455,True,False,False
EMP/Yeast_H3,EMP,0.6599388038043943,0.6728216281960726,6,-0.012882824391678316,False,True,False
EMP/Yeast_H3K14ac,EMP,0.3976585207951492,0.3824947450476684,6,0.01516377574748079,True,False,False
EMP/Yeast_H3K36me3,EMP,0.4596250565941954,0.4263183407357774,6,0.03330671585841799,True,False,False
EMP/Yeast_H3K4me1,EMP,0.3697013732264936,0.3157962181033638,6,0.05390515512312982,True,False,False
EMP/Yeast_H3K4me2,EMP,0.2925228640029574,0.2652358879755765,6,0.027286976027380894,True,False,False
EMP/Yeast_H3K4me3,EMP,0.3821194250634468,0.2867279862772258,6,0.09539143878622103,True,False,False
EMP/Yeast_H3K79me3,EMP,0.5818747758543935,0.5672609242318832,6,0.014613851622510277,True,False,False
EMP/Yeast_H3K9ac,EMP,0.433886777588675,0.4254699863393736,6,0.008416791249301392,True,False,False
EMP/Yeast_H4,EMP,0.6794565339985045,0.7162266491464719,6,-0.036770115147967464,False,True,False
EMP/Yeast_H4ac,EMP,0.4288807189345976,0.3590701672044425,6,0.0698105517301551,True,False,False
deep4mc/A.thaliana_4mC,deep4mc,0.1922746020527251,0.231774808385439,6,-0.03950020633271392,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.2492864186727509,0.3054648745499289,6,-0.056178455877177985,False,True,False
deep4mc/D.melanogaster_4mC,deep4mc,0.2278619305122458,0.2947647962194686,6,-0.06690286570722281,False,True,False
deep4mc/E.coli_4mC,deep4mc,0.0,0.1414583040387055,6,-0.1414583040387055,False,True,False
deep4mc/G.pickeringii_4mC,deep4mc,0.0,0.1437892073131142,6,-0.1437892073131142,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,0.0,0.1679716984268813,6,-0.1679716984268813,False,True,False
enhancers/enhancer,enhancers,0.4697092511615889,0.4763416000357052,6,-0.0066323488741162895,False,True,False
enhancers/enhancer_strength,enhancers,0.4287374326540295,0.4039596733986989,6,0.0247777592553306,True,False,False
genomic_benchmark/coding,genomic_benchmark,0.6545025154855207,0.8040847576227689,6,-0.14958224213724813,False,True,False
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.3769908999218447,0.4385308239088903,6,-0.06153992398704561,False,True,False
genomic_benchmark/enhancer_ensembl,genomic_benchmark,0.618627944227811,0.610564421041374,6,0.008063523186436994,True,False,False
genomic_benchmark/human_vs_worm,genomic_benchmark,0.7812284901125139,0.9140347515306508,6,-0.1328062614181369,False,True,False
genomic_benchmark/open_chromatin_region,genomic_benchmark,0.3521533704456454,0.4143421899246619,6,-0.0621888194790165,False,True,False
