timestamp,dataset,method,feat_dim,time_sec
2026-04-02T01:49:06.563173,dna_foundation_benchmark/tf/Human_TFBS_3,fm_DNABERT-2-117M,768,11.475089055020362
2026-04-02T01:51:50.662000,dna_foundation_benchmark/tf/Human_TFBS_4,fm_DNABERT-2-117M,768,15.687540463986807
2026-04-02T01:55:47.410689,dna_foundation_benchmark/tf/Human_TFBS_5,fm_DNABERT-2-117M,768,11.375751852989197
2026-04-02T02:03:44.532536,dna_foundation_benchmark/virus/covid_variants,fm_DNABERT-2-117M,768,329.9981732700253
2026-04-02T02:22:44.779105,dna_foundation_benchmark_long/iPro-WAEL/Promoter_GM12878,fm_DNABERT-2-117M,768,147.67608691495843
2026-04-02T02:27:18.579044,dna_foundation_benchmark_long/iPro-WAEL/Promoter_HUVEC,fm_DNABERT-2-117M,768,148.66982354200445
2026-04-02T02:31:50.394695,dna_foundation_benchmark_long/iPro-WAEL/Promoter_Hela-S3,fm_DNABERT-2-117M,768,133.26758797408547
2026-04-02T02:34:57.570732,dna_foundation_benchmark_long/splice/acceptors,fm_DNABERT-2-117M,768,50.21804647904355
2026-04-02T02:38:26.376380,dna_foundation_benchmark_long/splice/donors,fm_DNABERT-2-117M,768,49.51186040206812
2026-04-02T02:46:35.619834,dna_foundation_benchmark_long/virus/covid_variants,fm_DNABERT-2-117M,768,330.15421934309416
