dataset,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
genomic_benchmark/enhancer_ensembl,0.022186324257906037,0.021128841082588723,0.022186324257906037,0.021128841082588723,0.004382693316049491,0.0033702467845531103
genomic_benchmark/human_vs_worm,0.052575126789023284,0.04450192668775588,0.052575126789023284,0.04450192668775588,0.052575126789023284,0.04450192668775588
genomic_benchmark/open_chromatin_region,0.00941593131846705,0.009207827018302916,0.00941593131846705,0.009207827018302916,0.00941593131846705,0.009207827018302916
genomic_benchmark/promoter_notata_251bps,0.05061241856291659,0.04046035919534596,0.05061241856291659,0.04046035919534596,0.05061241856291659,0.04046035919534596
genomic_benchmark/regulatory_region_type,0.02598550068810837,0.019936769589264047,0.02598550068810837,0.019936769589264047,0.02598550068810837,0.019936769589264047
iDHS-EL/DNase_I,0.016453596324888322,0.011391504872895086,0.016453596324888322,0.011391504872895086,0.016453596324888322,0.011391504872895086
iDNA_ABF/5mC,0.007394826620641577,0.005226524705777558,0.007394826620641577,0.005226524705777558,0.007394826620641577,0.005226524705777558
iDNA_ABF/6mA,0.010015350222203035,0.00659591391627079,0.010015350222203035,0.00659591391627079,0.010015350222203035,0.00659591391627079
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.06532981240201503,0.0479057127903163,0.06532981240201503,0.0479057127903163,0.06532981240201503,0.0479057127903163
iPro-WAEL/Promoter_Arabidopsis_TATA,0.058431939078518326,0.042822886046982256,0.058431939078518326,0.042822886046982256,0.058431939078518326,0.042822886046982256
iPro-WAEL/Promoter_B_amyloliquefaciens,0.04740024899659303,0.031225912087391783,0.04740024899659303,0.031225912087391783,0.04740024899659303,0.031225912087391783
iPro-WAEL/Promoter_GM12878,0.12795575307514148,0.11797565816340949,0.0989636599322257,0.06905300318951946,,
iPro-WAEL/Promoter_HUVEC,0.1453137695401915,0.1332548304601231,0.11662044967301688,0.08761074427459625,,
iPro-WAEL/Promoter_Hela-S3,0.13953010226085907,0.12582025177352507,0.12456409800769119,0.0895440839561168,,
iPro-WAEL/Promoter_NHEK,0.07844845228985375,0.0646859565585639,0.08425256863413288,0.06666969259118316,,
iPro-WAEL/Promoter_R_capsulatus,0.011477642148532979,0.008547668458899427,0.008111529202837926,0.006546609648930168,,
mouse/mouse_TFBS_1,0.015182818662555409,0.013016462792113659,0.0030269309169845236,0.0013079466741747758,,
mouse/mouse_TFBS_2,0.018896183853610346,0.012018941190844123,0.013014809332290335,0.009235562539965603,,
mouse/mouse_TFBS_3,0.07035766884503121,0.054833486301494316,0.017735759592620175,0.015437337564201181,,
mouse/mouse_TFBS_4,0.015815716933051286,0.01259115876470518,0.005471734679999355,0.0014959469961257632,,
mouse/mouse_TFBS_5,0.004335144234858206,0.0031451459375085866,0.0020434656486270535,0.00028534422797255043,,
prom/promoter_all_300bps,0.09691068998338025,0.08673402172020583,0.0783838339148436,0.07559611571434033,,
prom/promoter_all_70bps,0.02746468055263888,0.017917820159219944,0.04088308090574341,0.03571700833932967,,
prom/promoter_notata_300bps,0.12087599994658771,0.10699426786768695,0.0981449986510588,0.09457195572038646,,
prom/promoter_notata_70bps,0.03160393039199028,0.021147643166882668,0.04776963144232417,0.04287980863028784,,
prom/promoter_tata_300bps,0.012528584785699112,0.010866241372165852,0.012315178499196854,0.010311029087673895,,
prom/promoter_tata_70bps,0.020494669290953012,0.016208490374065798,0.035711764107295485,0.03499358562321653,,
splice/acceptors,0.03783945489556276,0.03126223842707676,0.01443273468740457,0.01284954720855036,,
splice/donors,0.03642821144343821,0.02986392573985175,0.013621959616197148,0.011395775900196692,,
splice/splice_site_type_DNABERT,0.031441373433509896,0.02670884680314356,0.02360004969026519,0.020995733946438278,,
splice/splice_site_type_NT,0.030764584063318667,0.02714900291218736,0.02684299668907941,0.02494632733270974,,
tf/Human_TFBS_1,0.021765981520663166,0.018515092637482966,0.020853461533377,0.01705908996629346,,
tf/Human_TFBS_2,0.019736886237950217,0.016276225988110404,0.020757661427177478,0.016778227551635272,,
tf/Human_TFBS_3,0.010521219877736335,0.008800875457608992,0.012967348590175159,0.011825165560623296,,
tf/Human_TFBS_4,0.013213944347969088,0.010527354438778058,0.02010348666434321,0.016005512349423046,,
tf/Human_TFBS_5,0.04744233889649636,0.04597699591205917,0.053724845546627084,0.054447888846777204,,
virus/covid_variants,0.01502509899321946,0.012963159190788387,0.021099466997471707,0.020580699293436755,,
