dataset,best_kmer_MCC,best_fm_MCC,best_kmer_AUROC,best_fm_AUROC,best_kmer_F1,best_fm_F1,best_kmer_Accuracy,best_fm_Accuracy
dna_foundation_benchmark/genomic_benchmark/coding,,0.700102106231775,,0.9251069824,,0.8497947326986754,,0.84984
dna_foundation_benchmark/genomic_benchmark/enhancer_cohn,,0.4755899861832298,,0.8167351994535275,,0.7377504226692411,,0.7377662636729995
dna_foundation_benchmark/genomic_benchmark/enhancer_ensembl,,0.5354223397454778,,0.8420779303645585,,0.7669692149069238,,0.7671940587665482
dna_foundation_benchmark/genomic_benchmark/human_vs_worm,,0.8903975362284836,,0.9881272384,,0.943328279637346,,0.94344
dna_foundation_benchmark/genomic_benchmark/open_chromatin_region,,0.3230706513087512,,0.7179247027778108,,0.6584831263078244,,0.6600480659189746
dna_foundation_benchmark/genomic_benchmark/promoter_notata_251bps,,0.690456083485683,,0.9278695334648728,,0.8443278187604817,,0.8448085012176223
dna_foundation_benchmark/genomic_benchmark/regulatory_region_type,,0.4892569160173369,,0.8335588254323749,,0.6572942353605842,,0.6610815587475959
dna_foundation_benchmark/iDHS-EL/DNase_I,,0.5144844184409314,,0.8346203346203347,,0.7465781271174956,,0.8202614379084967
dna_foundation_benchmark/iDNA_ABF/5mC,,0.2398056320864477,,0.6506025313591102,,0.6195615642175754,,0.6197583511016347
dna_foundation_benchmark/iDNA_ABF/6mA,,0.3223835875847305,,0.7115252730734187,,0.6607382574193712,,0.6609707325940738
dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_NonTATA,,0.6830516606057192,,0.916657956823822,,0.8413444897662581,,0.8413773638159752
dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_TATA,,0.6057902301219664,,0.9122754784294316,,0.7971504900030626,,0.8278750952018279
dna_foundation_benchmark/iPro-WAEL/Promoter_B_amyloliquefaciens,,0.4718740627568463,,0.8120111151765672,,0.7357549857549857,,0.7358490566037735
dna_foundation_benchmark/iPro-WAEL/Promoter_GM12878,,0.8670102145596525,,0.979475041322314,,0.9334506646933064,,0.9334545454545454
dna_foundation_benchmark/iPro-WAEL/Promoter_HUVEC,,0.8927697920098048,,0.9849960482771432,,0.9463423214143531,,0.9463447350771296
dna_foundation_benchmark/iPro-WAEL/Promoter_Hela-S3,,0.876120188448701,,0.98257884830981,,0.9380074184313634,,0.9380108991825612
dna_foundation_benchmark/iPro-WAEL/Promoter_NHEK,,0.7100136838099318,,0.9369851524772042,,0.8534527057211032,,0.8537181996086106
dna_foundation_benchmark/iPro-WAEL/Promoter_R_capsulatus,,0.2142934538319151,,0.6499714626597436,,0.6071466666666667,,0.607244094488189
dna_foundation_benchmark/mouse/mouse_TFBS_1,,0.2099109570804133,,0.6529533099629121,,0.6049058873900484,,0.6049382716049383
dna_foundation_benchmark/mouse/mouse_TFBS_2,,0.5469557146777041,,0.8535736274672923,,0.7734232465907344,,0.7734394306331241
dna_foundation_benchmark/mouse/mouse_TFBS_3,,0.5566076844977441,,0.8611200801417382,,0.7753861621424001,,0.7761953204476093
dna_foundation_benchmark/mouse/mouse_TFBS_4,,0.2112692990702088,,0.6548401483498427,,0.6054639804639805,,0.6055944055944056
dna_foundation_benchmark/mouse/mouse_TFBS_5,,0.1745668734602849,,0.6251921372072989,,0.5871932726771436,,0.5872566371681416
dna_foundation_benchmark/prom/promoter_all_300bps,,0.727978880347517,,0.931311366834793,,0.8639499879886141,,0.8639563038459372
dna_foundation_benchmark/prom/promoter_all_70bps,,0.4866181826987814,,0.8200025949476901,,0.7424100617194296,,0.7427220001126189
dna_foundation_benchmark/prom/promoter_notata_300bps,,0.8096279264468004,,0.9625142673164818,,0.9042072002087708,,0.9042713567839196
dna_foundation_benchmark/prom/promoter_notata_70bps,,0.5139732019439609,,0.83675545598596,,0.7564102513985591,,0.7565954773869347
