dataset,n_train,n_test,n_classes,entropy_k4,perplexity_k4,mi_k4_mean,mi_k4_median,jsd_k4,entropy_k5,perplexity_k5,mi_k5_mean,mi_k5_median,jsd_k5,entropy_k6,perplexity_k6,mi_k6_mean,mi_k6_median,jsd_k6,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
deep4mc/A.thaliana_4mC,156697,67157,2,5.140144348144531,35.26449203491211,0.0030061980274132564,0.0,0.0029846513643860817,5.283893585205078,38.9592399597168,0.0024142747527988446,0.0,0.0070122005417943,5.330760955810547,40.24565124511719,0.0028024402338988758,2.4443027242138093e-05,0.019397810101509094,0.001130097972406409,0.0007708377180469794,0.001130097972406409,0.0007708377180469794,0.0005833313997999464,0.00010767620783458387
deep4mc/C.elegans_4mC,84926,36398,2,5.121553897857666,34.812992095947266,0.0029538029042777995,0.0007539840201841175,0.004242422990500927,5.2761945724487305,38.75188446044922,0.002974216804860103,0.0001409725336259937,0.008986545726656914,5.32763147354126,40.158443450927734,0.002819581099506356,0.00010221494560536115,0.022898735478520393,0.0018621377765963322,0.001383437623556305,0.0018621377765963322,0.001383437623556305,0.0008410782539540494,0.00025580151941939633
deep4mc/D.melanogaster_4mC,126466,54200,2,5.132000923156738,35.06599807739258,0.0028168967135245963,0.0001577034951534273,0.004920492880046368,5.279115200042725,38.830413818359375,0.0029174992125644734,0.0002280942915775519,0.009855931624770164,5.327692985534668,40.16015625,0.002719098338913993,0.0,0.023345716297626495,0.0013357164139863164,0.0009817977682887724,0.0013357164139863164,0.0009817977682887724,0.0007295372880403147,0.0002830869584644624
deep4mc/E.coli_4mC,8681,3721,2,5.175095081329346,36.129241943359375,0.0023340266789829665,0.00012620726219791933,0.008138693869113922,5.3046875,39.52483367919922,0.0020149992106960873,4.252262975845689e-06,0.01739250123500824,5.342276573181152,40.56817626953125,0.0020377591379863447,0.0001263436412655139,0.044240280985832214,0.0021758494599455605,0.0009300844025000865,0.0021758494599455605,0.0009300844025000865,0.0016029411616468772,0.0003910820028203421
deep4mc/G.pickeringii_4mC,24053,10309,2,5.147846698760986,35.45326614379883,0.0021254929036783046,8.763630700392433e-05,0.008158199489116669,5.294564723968506,39.24847412109375,0.0019535457316213474,0.0,0.015706941485404968,5.338503360748291,40.462215423583984,0.001918532151178483,0.0,0.04056942090392113,0.0019918859006159487,0.0012728694152448483,0.0019918859006159487,0.0012728694152448483,0.0013476260321061701,0.0006612332318579606
deep4mc/G.subterraneus_4mC,63567,27243,2,5.163671493530273,35.84429168701172,0.0020436900157323173,0.0005558873041181522,0.005728004965931177,5.2996296882629395,39.38650894165039,0.0020425655208607214,0.00011428405891145133,0.01221441850066185,5.340449810028076,40.516841888427734,0.0019345963215919796,0.0,0.0351720005273819,0.0010656987793325559,0.0007448689585382029,0.0010656987793325559,0.0007448689585382029,0.0006797761376145002,0.00013048692522932281
enhancers/enhancer,14968,400,2,6.753709316253662,107.91183471679688,0.020968266015230552,0.014821968885973535,0.03723584860563278,7.3287858963012695,160.76235961914062,0.0087606174013398,0.005444004126496704,0.05165397375822067,7.534020900726318,185.33877563476562,0.004638092168002061,0.002441885681506162,0.06935936957597733,0.03777511499217017,0.03200319431305576,0.03777511499217017,0.03200319431305576,0.020345709255642146,0.01796916272167648
enhancers/enhancer_strength,14968,400,3,6.754771709442139,107.9913330078125,0.028623163561054158,0.02328828525434068,,7.3295392990112305,160.84634399414062,0.011912274641068305,0.00863656927551959,,7.535216331481934,185.49240112304688,0.005777290771233807,0.0032525456692479304,,0.03177200422485658,0.02580390436780211,0.03177200422485658,0.02580390436780211,0.008297848721402637,0.005017816114639917
genomic_benchmark/coding,75000,25000,2,6.677587509155273,102.3656234741211,0.026800774509877296,0.016999452234173873,0.06750590354204178,7.2774786949157715,155.14556884765625,0.010544187496048955,0.006913472112406671,0.08477285504341125,7.504924774169922,181.63832092285156,0.005114842313922608,0.0030515810864303328,0.1052587628364563,0.06836876579005523,0.0572570216163365,0.06836876579005523,0.0572570216163365,0.013805370094783968,0.0081186142345393
genomic_benchmark/enhancer_cohn,20843,6948,2,7.207655429840088,147.815673828125,0.016082325047177933,0.011825950386688655,0.01926252990961075,8.226673126220703,299.5541687011719,0.0074090335162467855,0.005175925834539186,0.023777849972248077,8.68397045135498,411.2781066894531,0.004143033357980523,0.0019047028498579976,0.028997765854001045,0.0315819024245464,0.029351000973937058,0.0315819024245464,0.029351000973937058,0.011560338079460686,0.007586249324607608
genomic_benchmark/enhancer_ensembl,123872,30970,2,6.665003776550293,101.47663879394531,0.006045537310649302,0.004570765130910925,0.010763238184154034,7.355810165405273,163.80210876464844,0.004000757787947971,0.0016378191517706364,0.01620262861251831,7.637903213500977,199.1764373779297,0.0032894420445132794,0.000720454374305346,0.024712596088647842,0.022186324257906037,0.021128841082588723,0.022186324257906037,0.021128841082588723,0.004382693316049491,0.0033702467845531103
