dataset,metric_select,kmer_choice,kmer_col,fm_model,fm_col,feat_dim_fm,feat_dim_kmer,MCC,AUROC,F1,Accuracy
deep4mc/A.thaliana_4mC,MCC,k=5,kmer_k5_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,1024,0.18912584494714166,0.6315845189563318,0.5942331639816127,0.5944577631520169
deep4mc/C.elegans_4mC,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.18254345707718622,0.6267235421754971,0.5912620841208607,0.5912687510302764
deep4mc/D.melanogaster_4mC,MCC,k=5,kmer_k5_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,1024,0.205284379835523,0.6411123092005828,0.6024684880816956,0.6025830258302584
deep4mc/E.coli_4mC,MCC,k=4,kmer_k4_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,256,0.004649747727041629,0.6378447119035483,0.45722627669192556,0.8317656543939801
deep4mc/G.pickeringii_4mC,MCC,k=4,kmer_k4_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,256,0.0665494653369347,0.6427916346925586,0.4681711611318376,0.8337375109127947
deep4mc/G.subterraneus_4mC,MCC,k=5,kmer_k5_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,1024,0.004602904008624897,0.6505111688358056,0.4553230828065517,0.8330213265793047
enhancers/enhancer,MCC,k=5,kmer_k5_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,1024,0.5451703923755873,0.8362249999999999,0.7724644475699328,0.7725
enhancers/enhancer_strength,MCC,k=4,kmer_k4_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,256,0.4866321433948286,0.8623583333333333,0.4982540089435757,0.6575
genomic_benchmark/coding,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.8695541265248694,0.9785838656,0.9344576165944263,0.93448
genomic_benchmark/enhancer_cohn,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.4833117765716842,0.8183534797023302,0.7416503420875142,0.7416522740356937
genomic_benchmark/enhancer_ensembl,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.6223679831971217,0.8986966669860497,0.8080449252162191,0.8087826929286406
genomic_benchmark/human_vs_worm,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.9070154267879174,0.9908056,0.9534365240551461,0.95344
genomic_benchmark/open_chromatin_region,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.3565257609120173,0.7454768593213353,0.6742420717553286,0.6761558709086748
genomic_benchmark/promoter_notata_251bps,MCC,k=5,kmer_k5_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,1024,0.7550201296237138,0.9495995655198831,0.8717010355481569,0.8717068851007306
genomic_benchmark/regulatory_region_type,MCC,k=4,kmer_k4_MCC,LongSafari/hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,256,256,0.7517146493923611,0.936606446917179,0.8291848368975169,0.8321695285291009
iDHS-EL/DNase_I,MCC,k=5,kmer_k5_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,1024,0.63160056256292,0.8600922350922351,0.8153086419753086,0.8562091503267973
iDNA_ABF/5mC,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.4547168120351899,0.797129590715117,0.725800826401519,0.7263681592039801
