dataset,mcc_kmer,mcc_fm,mcc_concat,delta_concat_vs_fm
EMP/Yeast_H3K9ac,0.433886777588675,0.5235595339824798,0.5202787743997492,-0.0032807595827305525
EMP/Yeast_H3K79me3,0.5818747758543935,0.6335808217713691,0.6299455830272228,-0.0036352387441462852
EMP/Yeast_H3K36me3,0.4596250565941954,0.5520223328286477,0.5483710635218488,-0.003651269306798821
iPro-WAEL/Promoter_HUVEC,0.9027624370358904,0.9170199829724496,0.9130476173144044,-0.003972365658045152
EMP/Yeast_H3K4me3,0.3821194250634468,0.3680509487028043,0.3639440694699387,-0.004106879232865623
iPro-WAEL/Promoter_Hela-S3,0.8829151663096828,0.9089927146351158,0.9048471556655652,-0.0041455589695506
splice/donors,0.5537163620766578,0.769592055733883,0.7650142344921362,-0.004577821241746771
deep4mc/C.elegans_4mC,0.2492864186727509,0.1874836237704671,0.1825434570771862,-0.004940166693280901
iDNA_ABF/5mC,0.4741182736614529,0.4600748284171476,0.4547168120351899,-0.005358016381957709
iPro-WAEL/Promoter_Arabidopsis_TATA,0.7875570194300952,0.8136472308708954,0.8079744240324567,-0.0056728068384387376
deep4mc/E.coli_4mC,0.0,0.010385982373169,0.0046497477270416,-0.0057362346461274
EMP/Yeast_H3,0.6599388038043943,0.7548902158556319,0.7490448045526331,-0.00584541130299876
deep4mc/G.pickeringii_4mC,0.0228919456076237,0.0726505617048337,0.0665494653369347,-0.006101096367898989
tf/Human_TFBS_4,0.3995032554508381,0.3803364174443229,0.3738601080827451,-0.006476309361577781
iDHS-EL/DNase_I,0.5968101769219415,0.6389314857477728,0.63160056256292,-0.0073309231848528444
EMP/Yeast_H3K14ac,0.3976585207951492,0.5131740219570456,0.5054352587118421,-0.007738763245203506
prom/promoter_tata_70bps,0.5447663881557602,0.4682595845841795,0.4539589175652851,-0.014300667018894375
deep4mc/G.subterraneus_4mC,0.0,0.0199660919190079,0.0046029040086248,-0.0153631879103831
enhancers/enhancer_strength,0.5363831291467198,0.5197416439608005,0.4866321433948286,-0.033109500565971894
